brand,style,men_women,pocket_area,price
7 for All Mankind,straight,men,11222.7266,179
7 for All Mankind,skinny,men,10841.9428,209
Abercrombie,slim,men,10624.6517,78
Abercrombie,straight,men,10134.1547,78
American Eagle,straight,men,10555.3996,49.95
American Eagle,skinny,men,8479.8955,49.95
Arizona,skinny,men,12667.6559,50
Arizona,boot-cut,men,12751.06,50
Buckle Black,slim,men,10399.3621,94.95
Buckle Black,boot-cut,men,10826.6762,94.95
Calvin Klein,skinny,men,8934.3709,89.5
Calvin Klein,straight,men,11826.1026,69.5
Express,boot-cut,men,9377.6447,79.9
Express,skinny,men,9030.4098,88
Gap,skinny,men,10704.8246,69.95
Gap,boot-cut,men,11022.0396,59.95
Guess,straight,men,12609.9014,98
Guess,skinny,men,8996.149,98
H&M,skinny,men,8129.5324,39.99
H&M,straight,men,9892.5682,49.99
J. Crew,skinny,men,12461.6415,98
J. Crew,straight,men,9299.9818,98
Lee,straight,men,10532.7301,48
Lee,slim,men,13102.0319,48
Levi's,skinny,men,10431.4126,69.5
Levi's,straight,men,11591.2597,59.5
Lucky,slim,men,9871.3187,99
Lucky,straight,men,10957.0321,129
Old Navy,skinny,men,10511.3794,39.99
Old Navy,boot-cut,men,12527.1285,39.99
Ralph Lauren,straight,men,12792.5982,89.5
Ralph Lauren,slim,men,10857.7151,89.5
Tommy Hilfiger,slim,men,11446.1056,59.5
Tommy Hilfiger,boot-cut,men,12599.1005,59.5
True Religion,slim,men,11203.1374,159
True Religion,straight,men,9625.4688,179
Uniqlo,skinny,men,10783.8924,49.9
Uniqlo,regular,men,10452.4111,49.9
Wrangler,slim,men,13079.606,58
Wrangler,boot-cut,men,9407.0913,48
7 for All Mankind,skinny,women,5557.2185,199
7 for All Mankind,straight,women,5811.1118,159
Abercrombie,straight,women,8757.5784,78
Abercrombie,skinny,women,9688.4832,88
American Eagle,boot-cut,women,6408.5873,39.95
American Eagle,skinny,women,7834.5785,39.95
Arizona,straight,women,6510.0585,42
Arizona,skinny,women,6875.2947,42
Buckle Black,boot-cut,women,6528.0599,89.95
Buckle Black,skinny,women,6470.6276,92.95
Calvin Klein,skinny,women,4702.0284,79.5
Calvin Klein,straight,women,5626.3245,69.5
Express,skinny,women,6544.8138,79.9
Express,straight,women,6496.1196,79.9
Gap,boot-cut,women,4454.429,69.95
Gap,skinny,women,4612.939,69.95
Guess,straight,women,4572.5716,89
Guess,skinny,women,4490.844,98
H&M,straight,women,5557.3309,49.99
H&M,skinny,women,7424.142,9.99
J. Crew,straight,women,6307.4533,125
J. Crew,skinny,women,4865.7834,110
Lee,skinny,women,6878.1495,19.94
Lee,straight,women,6236.6351,19.94
Levi's,straight,women,5955.6778,54.5
Levi's,skinny,women,5412.6825,54.5
Lucky,skinny,women,5151.4724,99
Lucky,straight,women,7178.176,79.5
Old Navy,skinny,women,5557.1061,29.99
Old Navy,boot-cut,women,5002.4894,29.99
Ralph Lauren,skinny,women,5318.5917,89.5
Ralph Lauren,straight,women,5318.5917,89.5
Tommy Hilfiger,skinny,women,5481.5787,69.5
Tommy Hilfiger,straight,women,7059.7973,69.5
True Religion,straight,women,5384.5568,249
True Religion,skinny,women,5387.754,179
Uniqlo,straight,women,6704.7962,39.9
Uniqlo,skinny,women,5253.8165,39.9
Wrangler,skinny,women,6110.3179,99
Wrangler,straight,women,5936.5412,99
