brand,men_women,price
Arizona,women,42
Arizona,women,42
Ralph Lauren,women,89.5
Ralph Lauren,women,89.5
Uniqlo,women,39.9
Uniqlo,women,39.9
Calvin Klein,women,79.5
Calvin Klein,women,69.5
Lucky,women,99
Lucky,women,79.5
Levi's,women,54.5
Levi's,women,54.5
Lee,women,19.94
Lee,women,19.94
7 for All Mankind,women,199
7 for All Mankind,women,159
True Religion,women,179
True Religion,women,249
Guess,women,98
Guess,women,89
Tommy Hilfiger,women,69.5
Tommy Hilfiger,women,69.5
Express,women,79.9
Express,women,79.9
H&M,women,49.99
H&M,women,9.99
Old Navy,women,29.99
Old Navy,women,29.99
J. Crew,women,125
J. Crew,women,110
Gap,women,69.95
Gap,women,69.95
American Eagle,women,39.95
American Eagle,women,39.95
Abercrombie,women,88
Abercrombie,women,78
Wrangler,women,99
Wrangler,women,99
Arizona,men,50
Arizona,men,50
Ralph Lauren,men,89.5
Ralph Lauren,men,89.5
Guess,men,98
Guess,men,98
Calvin Klein,men,89.5
Calvin Klein,men,69.5
Levi's,men,69.5
Levi's,men,59.5
Uniqlo,men,49.9
Uniqlo,men,49.9
Express,men,88
Express,men,79.9
Lucky,men,99
Lucky,men,129
7 for all Mankind,men,209
7 for all Mankind,men,179
True Religion,men,159
True Religion,men,179
J. Crew,men,98
J. Crew,men,98
Old Navy,men,39.99
Old Navy,men,39.99
Gap,men,59.95
Gap,men,69.95
H&M,men,39.99
H&M,men,49.99
American Eagle,men,49.95
American Eagle,men,49.95
Abercrombie,men,78
Abercrombie,men,78
Tommy Hilfiger,men,59.5
Tommy Hilfiger,men,59.5
Lee,men,48
Lee,men,48
Wrangler,men,58
Wrangler,men,48
Buckle Black,women,89.95
Buckle Black,women,92.95
Buckle Black,men,94.95
Buckle Black,men,94.95
