"price","pocket_area"
179,11222.7266
209,10841.9428
78,10624.6517
78,10134.1547
49.95,10555.3996
49.95,8479.8955
50,12667.6559
50,12751.06
94.95,10399.3621
94.95,10826.6762
89.5,8934.3709
69.5,11826.1026
79.9,9377.6447
88,9030.4098
69.95,10704.8246
59.95,11022.0396
98,12609.9014
98,8996.149
39.99,8129.5324
49.99,9892.5682
98,12461.6415
98,9299.9818
48,10532.7301
48,13102.0319
69.5,10431.4126
59.5,11591.2597
99,9871.3187
129,10957.0321
39.99,10511.3794
39.99,12527.1285
89.5,12792.5982
89.5,10857.7151
59.5,11446.1056
59.5,12599.1005
159,11203.1374
179,9625.4688
49.9,10783.8924
49.9,10452.4111
58,13079.606
48,9407.0913
